Date,Open,High,Low,Close,Adj Close
12/02/2020,80.3675,81.805,80.3675,81.800003,80.794022
13/02/2020,81.047501,81.555,80.837502,81.217499,80.218681
14/02/2020,81.184998,81.495003,80.712502,81.237503,80.238434
18/02/2020,78.839996,79.9375,78.652496,79.75,78.769226
19/02/2020,80,81.142502,80,80.904999,79.910027
20/02/2020,80.657501,81.162498,79.552498,80.074997,79.090225
21/02/2020,79.654999,80.112503,77.625,78.262497,77.300026
24/02/2020,74.315002,76.044998,72.307503,74.544998,73.628235
25/02/2020,75.237503,75.6325,71.532501,72.019997,71.134285
26/02/2020,71.6325,74.470001,71.625,73.162498,72.262741
27/02/2020,70.275002,71.5,68.239998,68.379997,67.539047
28/02/2020,64.315002,69.602501,64.092499,68.339996,67.499535
02/03/2020,70.57,75.360001,69.43,74.702499,73.783798
03/03/2020,75.917503,76,71.449997,72.330002,71.440475
04/03/2020,74.110001,75.849998,73.282501,75.684998,74.754204
05/03/2020,73.879997,74.887497,72.852501,73.230003,72.329414
06/03/2020,70.5,72.705002,70.307503,72.2575,71.368874
09/03/2020,65.9375,69.522499,65.75,66.542503,65.724152
10/03/2020,69.285004,71.610001,67.342499,71.334999,70.457718
11/03/2020,69.347504,70.305,67.964996,68.857498,68.010681
12/03/2020,63.985001,67.5,62,62.057499,61.294308
13/03/2020,66.222504,69.980003,63.237499,69.4925,68.637878
16/03/2020,60.487499,64.769997,60,60.552502,59.807819
17/03/2020,61.877499,64.402496,59.599998,63.215,62.43758
18/03/2020,59.942501,62.5,59.279999,61.6675,60.909107
19/03/2020,61.8475,63.209999,60.6525,61.195,60.442417
20/03/2020,61.794998,62.9575,57,57.310001,56.605198
23/03/2020,57.02,57.125,53.1525,56.092499,55.402664
24/03/2020,59.09,61.922501,58.575001,61.720001,60.960964
25/03/2020,62.6875,64.5625,61.075001,61.380001,60.625145
26/03/2020,61.630001,64.669998,61.59,64.610001,63.815418
27/03/2020,63.1875,63.967499,61.762501,61.935001,61.173321
30/03/2020,62.685001,63.880001,62.349998,63.702499,62.919079
31/03/2020,63.900002,65.622498,63,63.572498,62.790676
01/04/2020,61.625,62.18,59.782501,60.227501,59.48682
02/04/2020,60.084999,61.287498,59.224998,61.232498,60.479458
03/04/2020,60.700001,61.424999,59.7425,60.352501,59.610275
06/04/2020,62.724998,65.777496,62.345001,65.6175,64.810532
07/04/2020,67.699997,67.925003,64.75,64.857498,64.059875
08/04/2020,65.684998,66.842499,65.307503,66.517502,65.699455
09/04/2020,67.175003,67.517502,66.175003,66.997498,66.173553
13/04/2020,67.077499,68.425003,66.457497,68.3125,67.472389
14/04/2020,70,72.0625,69.512497,71.762497,70.879951
15/04/2020,70.599998,71.582497,70.157501,71.107498,70.233002
16/04/2020,71.845001,72.050003,70.587502,71.672501,70.791061
17/04/2020,71.172501,71.737503,69.214996,70.699997,69.830528
20/04/2020,69.487503,70.419998,69.212502,69.232498,68.381081
21/04/2020,69.07,69.3125,66.357498,67.092499,66.26738
22/04/2020,68.402496,69.474998,68.050003,69.025002,68.176125
23/04/2020,68.967499,70.4375,68.717499,68.7575,67.911919
24/04/2020,69.300003,70.752502,69.25,70.7425,69.872498
27/04/2020,70.449997,71.135002,69.987503,70.792503,69.92189
28/04/2020,71.269997,71.457497,69.550003,69.644997,68.788498
29/04/2020,71.182503,72.417503,70.972504,71.932503,71.047867
30/04/2020,72.489998,73.6325,72.087502,73.449997,72.5467
01/05/2020,71.5625,74.75,71.462502,72.267502,71.378746
04/05/2020,72.292503,73.422501,71.580002,73.290001,72.38868
05/05/2020,73.764999,75.25,73.614998,74.389999,73.475143
06/05/2020,75.114998,75.809998,74.717499,75.157501,74.2332
07/05/2020,75.805,76.292503,75.4925,75.934998,75.001144
08/05/2020,76.410004,77.587502,76.072502,77.532501,76.786293
